[19-Jun-2023 10:45:08] | 200 | 120.0797ms | 127.0.0.1 | GET | /api/products/1 | -
[19-Jun-2023 10:45:09] | 200 | 105.9826ms | 127.0.0.1 | GET | /api/products/1 | -
[19-Jun-2023 10:45:10] | 200 | 2.5781ms | 127.0.0.1 | GET | /api/products/1 | -
[19-Jun-2023 10:45:25] | 200 | 132.9807ms | 127.0.0.1 | GET | /api/products/1 | -
[19-Jun-2023 10:45:59] | 200 | 117.9612ms | 127.0.0.1 | GET | /api/products/1 | -
[19-Jun-2023 11:04:02] | 405 |      0s | 127.0.0.1 | DELETE | /api/products/1 | Method Not Allowed
[19-Jun-2023 11:05:04] | 200 | 130.5151ms | 127.0.0.1 | DELETE | /api/products/1 | -
[19-Jun-2023 11:05:12] | 201 | 116.9747ms | 127.0.0.1 | POST | /api/products | -
[19-Jun-2023 11:06:03] | 500 | 111.4683ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: insert or update on table "product_qualities" violates foreign key constraint "product_qualities_product_code_fkey" (SQLSTATE 23503)
[19-Jun-2023 11:06:56] | 200 | 127.2683ms | 127.0.0.1 | PATCH | /api/products/2 | -
[19-Jun-2023 11:12:36] | 500 | 134.7956ms | 127.0.0.1 | PATCH | /api/products/2 | sql: there are product qualities that are not registered
[19-Jun-2023 11:13:35] | 500 | 133.3106ms | 127.0.0.1 | PATCH | /api/products/2 | sql: there are product qualities that are not registered
[19-Jun-2023 11:14:34] | 500 | 124.7246ms | 127.0.0.1 | PATCH | /api/products/2 | sql: there are product qualities that are not registered
[19-Jun-2023 11:14:35] | 500 | 5.6627ms | 127.0.0.1 | PATCH | /api/products/2 | sql: there are product qualities that are not registered
[19-Jun-2023 11:14:51] | 500 | 136.8855ms | 127.0.0.1 | PATCH | /api/products/2 | sql: there are product qualities that are not registered
[19-Jun-2023 11:15:17] | 500 | 144.4941ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:16:29] | 500 | 148.921ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:17:09] | 500 | 147.5749ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:17:10] | 500 | 122.3224ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:17:35] | 500 | 149.9726ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:18:16] | 500 | 147.818ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:18:17] | 500 | 124.8411ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:19:12] | 500 | 148.8662ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:19:13] | 500 | 21.6173ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:19:15] | 500 | 126.9671ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:20:05] | 500 | 145.4855ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:21:06] | 500 | 150.096ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:21:44] | 500 | 144.1178ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:22:29] | 500 | 152.2217ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:23:30] | 500 | 121.3448ms | 127.0.0.1 | PATCH | /api/products/2 | sql: there are product qualities that are not registered
[19-Jun-2023 11:24:02] | 500 | 141.0567ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:24:37] | 500 | 148.321ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
